Period,Value
Jan-1980,592
Feb-1980,541
Mar-1980,474
Apr-1980,370
May-1980,469
Jun-1980,552
Jul-1980,636
Aug-1980,659
Sep-1980,596
Oct-1980,561
Nov-1980,562
Dec-1980,532
Jan-1981,511
Feb-1981,510
Mar-1981,514
Apr-1981,470
May-1981,467
Jun-1981,415
Jul-1981,431
Aug-1981,378
Sep-1981,338
Oct-1981,356
Nov-1981,382
Dec-1981,457
Jan-1982,368
Feb-1982,365
Mar-1982,374
Apr-1982,339
May-1982,384
Jun-1982,370
Jul-1982,375
Aug-1982,407
Sep-1982,481
Oct-1982,480
Nov-1982,554
Dec-1982,521
Jan-1983,582
Feb-1983,562
Mar-1983,596
Apr-1983,638
May-1983,664
Jun-1983,651
Jul-1983,606
Aug-1983,572
Sep-1983,608
Oct-1983,632
Nov-1983,644
Dec-1983,773
Jan-1984,691
Feb-1984,696
Mar-1984,641
Apr-1984,639
May-1984,615
Jun-1984,630
Jul-1984,619
Aug-1984,567
Sep-1984,662
Oct-1984,687
Nov-1984,597
Dec-1984,597
Jan-1985,645
Feb-1985,682
Mar-1985,671
Apr-1985,620
May-1985,678
Jun-1985,722
Jul-1985,766
Aug-1985,726
Sep-1985,678
Oct-1985,655
Nov-1985,733
Dec-1985,721
Jan-1986,733
Feb-1986,728
Mar-1986,880
Apr-1986,857
May-1986,789
Jun-1986,728
Jul-1986,698
Aug-1986,621
Sep-1986,763
Oct-1986,669
Nov-1986,707
Dec-1986,784
Jan-1987,709
Feb-1987,732
Mar-1987,713
Apr-1987,735
May-1987,651
Jun-1987,637
Jul-1987,658
Aug-1987,657
Sep-1987,666
Oct-1987,650
Nov-1987,625
Dec-1987,595
Jan-1988,585
Feb-1988,663
Mar-1988,669
Apr-1988,699
May-1988,684
Jun-1988,717
Jul-1988,679
Aug-1988,688
Sep-1988,703
Oct-1988,718
Nov-1988,628
Dec-1988,658
Jan-1989,719
Feb-1989,622
Mar-1989,567
Apr-1989,608
May-1989,656
Jun-1989,642
Jul-1989,731
Aug-1989,697
Sep-1989,639
Oct-1989,645
Nov-1989,684
Dec-1989,630
Jan-1990,620
Feb-1990,591
Mar-1990,574
Apr-1990,542
May-1990,534
Jun-1990,545
Jul-1990,542
Aug-1990,528
Sep-1990,496
Oct-1990,465
Nov-1990,493
Dec-1990,464
Jan-1991,401
Feb-1991,482
Mar-1991,507
Apr-1991,508
May-1991,517
Jun-1991,516
Jul-1991,511
Aug-1991,526
Sep-1991,487
Oct-1991,524
Nov-1991,575
Dec-1991,558
Jan-1992,676
Feb-1992,639
Mar-1992,553
Apr-1992,546
May-1992,554
Jun-1992,596
Jul-1992,627
Aug-1992,636
Sep-1992,650
Oct-1992,621
Nov-1992,614
Dec-1992,650
Jan-1993,596
Feb-1993,604
Mar-1993,602
Apr-1993,701
May-1993,626
Jun-1993,653
Jul-1993,655
Aug-1993,645
Sep-1993,726
Oct-1993,704
Nov-1993,769
Dec-1993,812
Jan-1994,619
Feb-1994,686
Mar-1994,747
Apr-1994,692
May-1994,691
Jun-1994,621
Jul-1994,628
Aug-1994,656
Sep-1994,677
Oct-1994,715
Nov-1994,646
Dec-1994,629
Jan-1995,626
Feb-1995,559
Mar-1995,616
Apr-1995,621
May-1995,674
Jun-1995,725
Jul-1995,765
Aug-1995,701
Sep-1995,678
Oct-1995,696
Nov-1995,664
Dec-1995,709
Jan-1996,714
Feb-1996,769
Mar-1996,721
Apr-1996,736
May-1996,746
Jun-1996,721
Jul-1996,770
Aug-1996,826
Sep-1996,770
Oct-1996,720
Nov-1996,771
Dec-1996,805
Jan-1997,830
Feb-1997,801
Mar-1997,831
Apr-1997,744
May-1997,760
Jun-1997,793
Jul-1997,805
Aug-1997,815
Sep-1997,840
Oct-1997,800
Nov-1997,864
Dec-1997,793
Jan-1998,872
Feb-1998,866
Mar-1998,836
Apr-1998,866
May-1998,887
Jun-1998,923
Jul-1998,876
Aug-1998,846
Sep-1998,864
Oct-1998,893
Nov-1998,995
Dec-1998,949
Jan-1999,875
Feb-1999,848
Mar-1999,863
Apr-1999,918
May-1999,888
Jun-1999,923
Jul-1999,900
Aug-1999,893
Sep-1999,826
Oct-1999,872
Nov-1999,863
Dec-1999,873
Jan-2000,873
Feb-2000,856
Mar-2000,900
Apr-2000,841
May-2000,857
Jun-2000,793
Jul-2000,887
Aug-2000,848
Sep-2000,912
Oct-2000,933
Nov-2000,880
Dec-2000,983
Jan-2001,936
Feb-2001,963
Mar-2001,939
Apr-2001,909
May-2001,885
Jun-2001,882
Jul-2001,880
Aug-2001,866
Sep-2001,853
Oct-2001,871
Nov-2001,924
Dec-2001,979
Jan-2002,880
Feb-2002,948
Mar-2002,923
Apr-2002,936
May-2002,978
Jun-2002,957
Jul-2002,956
Aug-2002,"1,014"
Sep-2002,"1,044"
Oct-2002,"1,006"
Nov-2002,"1,024"
Dec-2002,"1,048"
Jan-2003,999
Feb-2003,936
Mar-2003,999
Apr-2003,"1,012"
May-2003,"1,078"
Jun-2003,"1,193"
Jul-2003,"1,168"
Aug-2003,"1,206"
Sep-2003,"1,131"
Oct-2003,"1,144"
Nov-2003,"1,093"
Dec-2003,"1,129"
Jan-2004,"1,165"
Feb-2004,"1,159"
Mar-2004,"1,276"
Apr-2004,"1,186"
May-2004,"1,241"
Jun-2004,"1,180"
Jul-2004,"1,088"
Aug-2004,"1,175"
Sep-2004,"1,214"
Oct-2004,"1,305"
Nov-2004,"1,179"
Dec-2004,"1,242"
Jan-2005,"1,203"
Feb-2005,"1,319"
Mar-2005,"1,328"
Apr-2005,"1,260"
May-2005,"1,286"
Jun-2005,"1,274"
Jul-2005,"1,389"
Aug-2005,"1,255"
Sep-2005,"1,244"
Oct-2005,"1,336"
Nov-2005,"1,214"
Dec-2005,"1,239"
Jan-2006,"1,174"
Feb-2006,"1,061"
Mar-2006,"1,116"
Apr-2006,"1,123"
May-2006,"1,086"
Jun-2006,"1,074"
Jul-2006,965
Aug-2006,"1,035"
Sep-2006,"1,016"
Oct-2006,941
Nov-2006,"1,003"
Dec-2006,998
Jan-2007,891
Feb-2007,828
Mar-2007,833
Apr-2007,887
May-2007,842
Jun-2007,793
Jul-2007,778
Aug-2007,699
Sep-2007,686
Oct-2007,727
Nov-2007,641
Dec-2007,619
Jan-2008,627
Feb-2008,593
Mar-2008,535
Apr-2008,536
May-2008,504
Jun-2008,487
Jul-2008,477
Aug-2008,435
Sep-2008,433
Oct-2008,393
Nov-2008,389
Dec-2008,377
Jan-2009,336
Feb-2009,372
Mar-2009,339
Apr-2009,337
May-2009,376
Jun-2009,393
Jul-2009,411
Aug-2009,418
Sep-2009,386
Oct-2009,396
Nov-2009,375
Dec-2009,352
Jan-2010,345
Feb-2010,336
Mar-2010,381
Apr-2010,422
May-2010,280
Jun-2010,305
Jul-2010,283
Aug-2010,282
Sep-2010,317
Oct-2010,291
Nov-2010,287
